instance,failed,satisfaction,reported,low,high,width
17,S1,0.7638888888888888,0.3571428571428571,0.3571427857142858,0.3571429285714285,1.4285714267092686e-07
17,S2,0.9305555555555556,0.8214285714285714,0.8214285714285714,0.8214286071428571,3.571428575099844e-08
17,S3,0.8055555555555556,0.5714285714285714,0.5714285,0.5714286428571429,1.4285714289297147e-07
17,S4,0.9166666666666666,0.7857142857142857,0.7857142857142857,0.7857143214285714,3.571428575099844e-08
17,F1,0.8194444444444444,0.6428571428571428,0.6428570714285714,0.6428572142857143,1.4285714289297147e-07
17,F2,0.6388888888888888,0.2142857142857143,0.0714285,0.2142857857142857,0.1428572857142857
17,F3,0.625,0.0,0.0,0.35714287857142857,0.35714287857142857
17,W1,0.75,0.3571428571428571,0.3571428571428571,0.35714289285714285,3.571428575099844e-08
17,W2,0.8611111111111112,0.7142857142857143,0.7142856785714287,0.7142857499999999,7.142857127995228e-08
17,W3,0.7361111111111112,0.2142857142857143,0.2142857142857143,0.5476190714285715,0.33333335714285717
17,W4,0.7361111111111112,0.2142857142857143,0.2142856428571429,0.2142857857142857,1.4285714278194916e-07
19,S1,0.962962962962963,0.9411764705882353,0.9411764705882353,0.9411765,2.94117646904013e-08
19,S2,0.8518518518518519,0.8235294117647058,0.7647058823529411,0.8235294411764706,0.05882355882352952
19,S3,0.7407407407407407,0.5882352941176471,0.5882352941176471,0.6470588529411765,0.05882355882352941
19,S4,0.7777777777777778,0.6470588235294117,0.6470588235294117,0.7058823823529412,0.05882355882352952
19,F1,0.7037037037037037,0.5882352941176471,0.5294117647058824,0.5882353235294118,0.05882355882352941
19,F2,0.8518518518518519,0.7647058823529411,0.7647058823529411,0.8235294411764706,0.05882355882352952
19,F3,0.9259259259259259,0.8823529411764706,0.8823529411764706,0.8823529705882353,2.94117646904013e-08
19,F4,0.962962962962963,0.9411764705882353,0.9411764705882353,0.9411765,2.94117646904013e-08
19,W1,0.8888888888888888,0.8235294117647058,0.8235294117647058,0.8823529705882353,0.05882355882352941
19,W2,0.8518518518518519,0.7647058823529411,0.7647058823529411,0.7647059117647059,2.94117648014236e-08
19,W3,0.7407407407407407,0.5,0.4999999500000001,0.74074074,0.24074078999999993
19,W4,0.7407407407407407,0.5882352941176471,0.5882352941176471,0.5882353235294118,2.94117646904013e-08
23,S1,0.7933884297520661,0.40476190476190477,0.40476190476190477,0.40476192857142856,2.3809523796991527e-08
23,S2,0.6611570247933884,0.023809523809523836,0.023809523809523836,0.023809547619047522,2.3809523685969225e-08
23,S3,0.5950413223140496,0.0,0.0,2.3809523796991527e-08,2.3809523796991527e-08
23,F1,0.768595041322314,0.33333333333333337,0.33333333333333337,0.33333335714285717,2.3809523796991527e-08
23,F2,0.8760330578512396,0.6428571428571428,0.6428571428571428,0.6428571666666667,2.380952390801383e-08
23,F3,0.7024793388429752,0.1428571428571429,0.1428571428571429,0.1428571666666666,2.3809523685969225e-08
23,W1,0.8429752066115702,0.5476190476190477,0.5476190476190477,0.5476190714285715,2.3809523796991527e-08
23,W2,0.859504132231405,0.29166666666666663,0.29166666666666663,0.2916667083333334,4.166666678351305e-08
23,W3,0.9256198347107438,0.8378378378378378,0.7499999791666667,0.9016393486486487,0.15163936948198198
27,S1,0.8602150537634409,0.7547169811320755,0.7547169811320755,0.754717,1.886792444505403e-08
27,S2,0.6774193548387097,0.4339622641509434,0.4339622641509434,0.43396228301886797,1.8867924556076332e-08
27,S3,0.9032258064516129,0.8301886792452831,0.8301886792452831,0.8301886981132075,1.886792444505403e-08
27,S4,0.8172043010752688,0.679245283018868,0.679245283018868,0.6792453018867926,1.8867924556076332e-08
27,F1,0.7204301075268817,0.5094339622641509,0.5094339622641509,0.5094339811320755,1.8867924556076332e-08
27,F2,0.6236559139784946,0.339622641509434,0.339622641509434,0.33962266037735844,1.886792444505403e-08
27,F3,0.6989247311827957,0.4716981132075472,0.4716981132075472,0.4905660566037736,0.01886794339622644
27,W1,0.8387096774193549,0.7169811320754718,0.7169811320754718,0.7169811509433962,1.886792444505403e-08
27,W2,0.8817204301075269,0.7924528301886793,0.7924528301886793,0.7924528490566037,1.886792444505403e-08
27,W3,0.7634408602150538,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.0
27,W4,0.7204301075268817,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.0
28,S1,0.9104477611940298,0.5555555555555556,0.5555555555555556,0.5555555925925926,3.703703699287075e-08
28,S2,0.7313432835820896,0.0,0.0,3.7037037103893056e-08,3.7037037103893056e-08
28,S3,0.8805970149253731,0.40740740740740744,0.40740740740740744,0.40740744444444443,3.703703699287075e-08
28,F1,0.7611940298507462,0.0,0.0,3.7037037103893056e-08,3.7037037103893056e-08
28,F2,0.8656716417910448,0.33333333333333337,0.33333333333333337,0.33333337037037036,3.703703699287075e-08
28,F3,0.6716417910447761,0.0,0.0,3.7037037103893056e-08,3.7037037103893056e-08
28,W1,0.8582089552238806,0.75,0.7499999821428571,0.7500000178571429,3.571428575099844e-08
28,W2,0.4776119402985075,0.0,0.0,5.714285722380197e-08,5.714285722380197e-08
28,W3,0.708955223880597,0.3928571428571429,0.3928571428571429,0.39285716071428567,1.785714276447692e-08
