instance,failed,nominal,draws,pm5_low,pm5_high,pm5_strand_draws,pm5_distinct,pm20_low,pm20_high,pm20_strand_draws,pm20_distinct
27,W3,0.5849056603773585,20,0.5849056603773585,0.5849056603773585,0,1,0.5849056603773585,0.5849056603773585,0,1
27,W4,0.5094339622641509,20,0.5094339622641509,0.5094339622641509,0,1,0.5094339622641509,0.5094339622641509,0,1
28,F1,0.0,20,0.0,0.0,20,1,0.0,0.5892857142857143,16,3
28,F2,0.33333333333333337,20,0.33333333333333337,0.33333333333333337,0,1,0.33333333333333337,0.7678571428571428,0,2
28,F3,0.0,20,0.0,0.0,20,1,0.0,0.2142857142857143,18,3
28,S1,0.5555555555555556,20,0.5555555555555556,0.5555555555555556,0,1,0.5555555555555556,0.5555555555555556,0,1
28,S2,0.0,20,0.0,0.0,20,1,0.0,0.0,20,1
28,S3,0.40740740740740744,20,0.40740740740740744,0.40740740740740744,0,1,0.40740740740740744,0.40740740740740744,0,1
28,W1,0.75,20,0.75,0.75,0,1,0.75,0.75,0,1
28,W2,0.0,20,0.0,0.0,20,1,0.0,0.0,20,1
28,W3,0.3928571428571429,20,0.3928571428571429,0.3928571428571429,0,1,0.0,0.3928571428571429,4,2
29,F1,0.0,20,0.0,0.0,20,1,0.0,0.0,20,1
29,F2,0.339622641509434,20,0.339622641509434,0.339622641509434,0,1,0.339622641509434,0.339622641509434,0,1
29,F3,0.7358490566037736,20,0.7358490566037736,0.7358490566037736,0,1,0.7358490566037736,0.7358490566037736,0,1
29,S1,0.339622641509434,20,0.339622641509434,0.339622641509434,0,1,0.0,0.339622641509434,1,2
29,S2,0.5660377358490566,20,0.5660377358490566,0.5660377358490566,0,1,0.5660377358490566,0.6981132075471699,0,2
29,S3,0.6415094339622642,20,0.6415094339622642,0.6415094339622642,0,1,0.6415094339622642,0.6415094339622642,0,1
29,W1,0.6603773584905661,20,0.6603773584905661,0.6603773584905661,0,1,0.6603773584905661,0.6603773584905661,0,1
29,W2,0.6981132075471699,20,0.6981132075471699,0.6981132075471699,0,1,0.6981132075471699,0.6981132075471699,0,1
29,W3,0.2857142857142857,20,0.2857142857142857,0.2857142857142857,0,1,0.2857142857142857,0.2857142857142857,0,1
29,W4,0.0,20,0.0,0.33333333333333337,9,2,0.0,0.33333333333333337,11,2
30,F1,0.33333333333333337,20,0.33333333333333337,0.5416666666666667,0,2,0.33333333333333337,0.5416666666666667,0,2
30,F2,0.8125,20,0.7272727272727273,0.8125,0,2,0.7272727272727273,0.8125,0,2
30,F3,0.33333333333333337,20,0.33333333333333337,0.5416666666666667,0,2,0.33333333333333337,0.5416666666666667,0,2
30,S1,0.8333333333333334,20,0.7575757575757576,0.8333333333333334,0,2,0.7575757575757576,0.8333333333333334,0,2
30,S2,0.4545454545454546,20,0.0,0.45833333333333337,7,6,0.0,0.45833333333333337,6,6
30,S3,0.5,20,0.06060606060606055,0.5,0,5,0.06060606060606055,0.5,0,6
30,W1,0.7878787878787878,20,0.7878787878787878,0.8541666666666666,0,2,0.7878787878787878,0.8541666666666666,0,2
30,W2,0.48484848484848486,20,0.4375,0.48484848484848486,0,2,0.4375,0.48484848484848486,0,2
30,W3,0.2727272727272727,20,0.0,0.5,9,3,0.0,0.5,10,3
30,W4,0.6363636363636364,20,0.6363636363636364,0.75,0,2,0.6363636363636364,0.75,0,2
31,F1,0.3214285714285714,20,0.25806451612903225,0.3214285714285714,0,2,0.25806451612903225,0.32258064516129037,0,3
31,F2,0.935483870967742,20,0.935483870967742,0.935483870967742,0,1,0.935483870967742,0.935483870967742,0,1
31,F3,0.5161290322580645,20,0.5161290322580645,0.5161290322580645,0,1,0.5161290322580645,0.5161290322580645,0,1
31,S1,0.4193548387096774,20,0.25806451612903225,0.4193548387096774,0,2,0.1785714285714286,0.4193548387096774,0,3
31,S2,0.5357142857142857,20,0.25806451612903225,0.5357142857142857,0,3,0.25806451612903225,0.5357142857142857,0,3
31,S3,0.7741935483870968,20,0.7741935483870968,0.7741935483870968,0,1,0.7741935483870968,0.8064516129032258,0,2
31,W1,0.8064516129032258,20,0.8064516129032258,0.8064516129032258,0,1,0.7096774193548387,0.8064516129032258,0,2
31,W2,0.5357142857142857,20,0.5357142857142857,0.5357142857142857,0,1,0.4838709677419355,0.5357142857142857,0,2
31,W3,0.8709677419354839,20,0.8709677419354839,0.8709677419354839,0,1,0.8709677419354839,0.8709677419354839,0,1
31,W4,0.3870967741935484,20,0.3870967741935484,0.3870967741935484,0,1,0.3870967741935484,0.3870967741935484,0,1
32,F1,0.9024390243902439,20,0.9024390243902439,0.9024390243902439,0,1,0.8888888888888888,0.9024390243902439,0,2
32,F2,0.975609756097561,20,0.975609756097561,0.975609756097561,0,1,0.962962962962963,0.975609756097561,0,2
32,F3,0.7073170731707317,20,0.7073170731707317,0.7777777777777778,0,2,0.7073170731707317,0.7777777777777778,0,2
32,F4,0.9024390243902439,20,0.9024390243902439,0.9024390243902439,0,1,0.8888888888888888,0.9024390243902439,0,2
32,S1,0.3902439024390244,20,0.33333333333333337,0.3902439024390244,0,2,0.33333333333333337,0.3902439024390244,0,2
32,S2,0.8292682926829268,20,0.8292682926829268,0.8292682926829268,0,1,0.7777777777777778,0.8292682926829268,0,2
32,S3,0.926829268292683,20,0.926829268292683,0.926829268292683,0,1,0.8888888888888888,0.926829268292683,0,2
32,S4,0.5853658536585367,20,0.40740740740740744,0.5853658536585367,0,2,0.40740740740740744,0.5853658536585367,0,2
32,W1,0.8888888888888888,20,0.8888888888888888,0.8888888888888888,0,1,0.7407407407407407,0.8888888888888888,0,2
32,W2,0.39473684210526316,20,0.0,0.39473684210526316,10,2,0.0,0.39473684210526316,9,2
32,W3,0.29268292682926833,20,0.29268292682926833,0.29268292682926833,0,1,0.29268292682926833,0.36585365853658536,0,2
32,W4,0.8888888888888888,20,0.8888888888888888,0.8888888888888888,0,1,0.8888888888888888,0.8888888888888888,0,1
33,F1,0.08333333333333337,20,0.08333333333333337,0.08333333333333337,0,1,0.08333333333333337,0.08333333333333337,0,1
33,F2,0.25,20,0.25,0.25,0,1,0.25,0.25,0,1
33,F3,0.6666666666666667,20,0.6666666666666667,0.6666666666666667,0,1,0.6666666666666667,0.6666666666666667,0,1
33,F4,0.6666666666666667,20,0.6666666666666667,0.6666666666666667,0,1,0.6666666666666667,0.6666666666666667,0,1
33,S1,0.0,20,0.0,0.0,20,1,0.0,0.0,20,1
33,S2,0.0,20,0.0,0.0,20,1,0.0,0.0,20,1
33,S3,0.0,20,0.0,0.0,20,1,0.0,0.0,20,1
33,W1,0.0,20,0.0,0.0,20,1,0.0,0.0,20,1
33,W2,0.75,20,0.75,0.75,0,1,0.75,0.75,0,1
33,W3,0.0,20,0.0,0.0,20,1,0.0,0.0,20,1
33,W4,0.0,20,0.0,0.0,20,1,0.0,0.0,20,1
34,F1,0.7142857142857143,20,0.7142857142857143,0.7142857142857143,0,1,0.7142857142857143,0.7142857142857143,0,1
