index,nodes,hospitals,arcs,slack,demand,capacity,worst_at_zero,worst_at_top,concave,front_loaded,worst_second_difference,gain_first_half,gain_second_half,binding_levels,distinct_binding,migrates,first_binding,last_binding,target,uniform_spend,optimized_spend,achieved,iterations,dominates,saving,has_floor,floor_value,floor_pair,cut_pairs,floor_tier
81,11,2,27,0.0356,97,336,0.48453608247422686,0.7268041237113403,True,True,2.220446049250313e-16,0.14536082474226797,0.09690721649484546,6,1,False,F3,F3,0.7268041237113403,168.0,23.5,0.7268041237113403,2,True,0.8601190476190477,False,,,0,
82,9,3,21,0.024,124,404,0.44354838709677424,0.6653225806451613,True,True,1.1102230246251565e-16,0.13306451612903225,0.08870967741935476,6,1,False,F2,F2,0.6653225806451613,202.0,39.0,0.6653225806451613,3,True,0.806930693069307,True,0.5403225806451613,W1+W2,2,WW
83,10,2,24,0.035,45,152,0.5777777777777777,0.8666666666666667,True,True,1.1102230246251565e-16,0.17333333333333334,0.11555555555555563,6,1,False,S1,S1,0.8666666666666667,76.0,30.0,0.8666666666666667,4,True,0.6052631578947368,False,,,0,
84,11,3,28,0.2004,146,590,0.773972602739726,0.839041095890411,True,True,1.1102230246251565e-16,0.03904109589041094,0.026027397260274032,6,1,False,W2,W2,0.839041095890411,295.0,10.0,0.839041095890411,3,True,0.9661016949152542,True,0.6438356164383562,W2+W4,1,WW
87,12,4,35,0.0698,142,484,0.6830985915492958,1.0,True,True,0.0,0.2049295774647888,0.11197183098591545,5,1,False,S2,S2,1.0,242.0,99.3333329,0.9999999971830986,9,True,0.5895316822314048,True,0.6971830985915493,W1+W4,1,WW
89,10,2,23,0.0369,74,264,0.5675675675675675,0.8513513513513513,True,True,2.220446049250313e-16,0.1702702702702703,0.11351351351351346,6,1,False,S3,S3,0.8513513513513513,132.0,46.0,0.8513513513513513,5,True,0.6515151515151515,False,,,0,
90,10,2,26,0.0691,108,358,0.5648148148148149,0.8472222222222222,True,True,2.220446049250313e-16,0.1694444444444444,0.11296296296296293,6,1,False,S1,S1,0.8472222222222222,179.0,56.25,0.8472222222222222,7,True,0.6857541899441341,False,,,0,
92,9,4,25,0.1759,137,521,0.6496350364963503,0.8321167883211679,True,True,0.0,0.1299270072992701,0.052554744525547425,6,1,False,W3,W3,0.8321167883211679,260.5,44.0,0.8321167883211679,3,True,0.8310940499040307,True,0.43795620437956206,W1+W3,2,WW
93,9,3,24,0.0609,100,344,0.6,0.7150000000000001,True,True,2.220446049250313e-16,0.07700000000000007,0.038000000000000034,6,2,True,W2,W1,0.7150000000000001,172.0,16.0,0.7150000000000001,3,True,0.9069767441860465,True,0.43000000000000005,W1+W3,2,WW
94,11,4,32,0.0597,129,411,0.627906976744186,0.9418604651162791,True,True,1.1102230246251565e-16,0.18837209302325575,0.12558139534883728,6,1,False,W3,W3,0.9418604651162791,205.5,115.25,0.9418604651162791,9,True,0.4391727493917275,True,0.7054263565891472,W1+W2,1,WW
97,10,3,28,0.0248,151,479,0.48344370860927155,0.7251655629139073,True,True,1.1102230246251565e-16,0.1450331125827814,0.09668874172185438,6,1,False,S3,S3,0.7251655629139073,239.5,67.5,0.7251655629139073,6,True,0.7181628392484343,True,0.7615894039735099,W1+W4,1,WW
98,9,3,23,0.1187,128,432,0.484375,0.7265625,True,True,1.1102230246251565e-16,0.14531249999999996,0.09687500000000004,6,1,False,F2,F2,0.7265625,216.0,61.0,0.7265625,4,True,0.7175925925925926,True,0.609375,W2+W3,1,WW
105,11,4,34,0.0769,185,624,0.6054054054054054,0.9081081081081082,True,True,1.1102230246251565e-16,0.18162162162162154,0.12108108108108118,6,1,False,S1,S1,0.9081081081081082,312.0,137.0,0.9081081081081082,6,True,0.5608974358974359,True,0.6972972972972973,W1+W3,1,WW
106,9,4,26,0.0607,131,436,0.5725190839694656,0.8587786259541985,True,True,1.1102230246251565e-16,0.1717557251908397,0.11450381679389321,6,1,False,F1,F1,0.8587786259541985,218.0,101.5,0.8587786259541985,6,True,0.5344036697247706,True,0.6106870229007634,W1+W2,2,WW
108,10,2,25,0.0355,87,284,0.632183908045977,0.9482758620689655,True,True,1.1102230246251565e-16,0.18965517241379315,0.12643678160919536,6,1,False,W3,W3,0.9482758620689655,142.0,74.0,0.9482758620689655,9,True,0.4788732394366197,False,,,0,
110,11,2,28,0.0536,43,146,0.4883720930232558,0.7325581395348837,True,True,1.1102230246251565e-16,0.1465116279069768,0.09767441860465109,6,1,False,S1,S1,0.7325581395348837,73.0,12.0,0.7325581395348837,3,True,0.8356164383561644,False,,,0,
116,12,3,36,0.0553,104,373,0.5288461538461539,0.7932692307692308,True,True,1.1102230246251565e-16,0.15865384615384615,0.10576923076923084,6,1,False,F1,F1,0.7932692307692308,186.5,27.5,0.7932692307692308,2,True,0.8525469168900804,False,,,0,
118,10,3,26,0.0207,90,311,0.5888888888888889,0.8777777777777778,True,True,0.0,0.17666666666666664,0.11222222222222222,6,2,True,S2,W2,0.8777777777777778,155.5,64.5,0.8777777777777778,8,True,0.5852090032154341,True,0.5777777777777777,W1+W2,1,WW
